articulo;descripcion;talle;costo;p_minorista;p_mayorista
40;PANCHA HOMBRE LISA CON CORDON NEGRO-AZUL-CEMENTO;35 AL 45;6580;11600;8600
41;PANCHA HOMBRE LISA SIN CORDON NEGRO-AZUL-CEMENTO;35 AL 45;6350;11400;8300
205-210;PANCHA DAMA SIN CORDON NEGRO-BEIGE- JEAN;35 AL 40 (TAREA POR 12 PS);6580;11600;8600
50;ZAPATILLAS LONA UNISEX NEGRO/NEGRO- NEG/COMB;35 AL 44;7280;12300;9500
O5;ZAPATILLAS LONA TIPO ADIDAS NEGRO-AZUL;35 AL 44;7280;12300;9500
600;ZAPATILLA INYECTION LONA UNISEX TIPO VANS NEGRO;35 AL 44;7280;12300;9500
O3;ZAPATILLAS NINA/O PU BORDADA COLORES VARIOS- NEGRO-BLANCO;22 AL 33 ;6200;11200;8100
O4;ZAPATILLA NINA/O PU CON ABROJO ESCOLAR BLANCO o NEGRO;22 AL 33 ;6500;11500;8500
O6;ZAPATILLA DEPORTIVA NINO BORDADA COLORES VARIOS;20 AL 33;6200;11200;8100
O8;ZAPATILLA LONA NINA/O COLORES VARIOS;20 AL 33 ;6200;11200;8100
63;DEPORTIVA BASE EVA SUPER LIVIANA: DAMA. NEGRA-ROSA-GRIS;35 AL 40 ;9760;14800;12700
71-72;DEPORTIVA BASE EVA SUPER LIVIANA: N/N- N/BCO-AZUL-GRIS;35 AL 44 ;10100;15100;13200
74-75;DEPORTIVA LIVIANA ALTA FERECUENCIA UNISEX COMBINADAS;37 AL 44 ;10100;15100;13200
86;URBANA LIVIANA PU BORDADO HOMBRE BLANCO Y NEGRO COMBINADO;37 AL 44 ;10100;15100;13200
10;ZAPATILLA PU TIPO PUMA NEGRO Y BLANCO;34 AL 44 ;10100;15100;13200
95;DEPORTIVA BORDADA LISA N/N - BCO/GRIS;35 AL 44 ;10100;15100;13200
108;DEPORTIVA UNISEX TIPO NIKE N/BCO -N/N - B/GRIS;35 AL 44;10800;15800;14100
109;DEPORTIVA UNISEX TIPO ADIDAS N/BCO;35 AL 44 ;10800;15800;14100
110;DEPORTIVA UNISEX BORDADA N/N- N/ROJO-  AZUL/ROJO -AZUL/GRIS;35 AL 44 ;10800;15800;14100
605-H;URBANA HOMBRE PEGADA TIPO VANS NEGRO - AZUL - GRIS/BCO - GRIS/N;35 AL 44 ;10800;15800;14100
605 D;URBANA DAMA PEGADA TIPO VANS ROSA/BCO - BCO/ROJO;35 AL 40 ;10800;15800;14100
N;ZAPTILLA DEPORTIVA HOMBRE ALTA FRECUENCIA NEGRA BASE BCA;35 AL 44 ;10800;15800;14100
N;ZAPATILLA DEPORTIVA MUJER ALTA FRECUENCIA ROSA- GRIS - N/PLATA - N/FUX;35 AL 40 ;10500;15500;13700
102;BOTITAS LONA BORDADA NEGRO - VERDE - VIOLETA;35 AL 40 ;7150;12200;9300
500;ZAPATILLAS PU ACOLCHONADAS MARRON- NEGRA;37 AL 44 ;11500;16500;15000
